Price,Close,High,Low,Open,Volume
Ticker,^BSESN,^BSESN,^BSESN,^BSESN,^BSESN
Date,,,,,
2023-03-24,57527.1015625,58066.3984375,57422.98046875,57890.66015625,6400
2023-03-27,57653.859375,58019.55078125,57415.01953125,57566.8984375,6000
2023-03-28,57613.71875,57949.44921875,57494.91015625,57751.5,4500
2023-03-29,57960.08984375,58124.19921875,57524.3203125,57572.078125,5900
2023-03-31,58991.51953125,59068.46875,58273.859375,58273.859375,6500
2023-04-03,59106.44140625,59204.8203125,58793.078125,59131.16015625,4300
2023-04-05,59689.30859375,59747.12109375,59094.3984375,59094.7109375,5000
2023-04-06,59832.96875,59950.05859375,59520.12109375,59627.01171875,4700
2023-04-10,59846.51171875,60109.109375,59766.23046875,59858.98046875,11000
2023-04-11,60157.71875,60267.6796875,59919.87890625,60028.6015625,6900
2023-04-12,60392.76953125,60437.640625,60094.69140625,60180.19921875,5900
2023-04-13,60431.0,60486.91015625,60081.4296875,60364.41015625,6600
2023-04-17,59910.75,60407.859375,59442.46875,60385.8984375,15200
2023-04-18,59727.01171875,60113.46875,59579.30078125,59991.26171875,7300
2023-04-19,59567.80078125,59745.890625,59452.71875,59745.890625,7800
2023-04-20,59632.3515625,59836.7890625,59489.98046875,59586.609375,6600
2023-04-21,59655.05859375,59781.359375,59412.80859375,59538.7890625,5700
2023-04-24,60056.1015625,60101.640625,59620.109375,59873.7109375,6600
2023-04-25,60130.7109375,60268.671875,59967.01953125,60202.76953125,6500
2023-04-26,60300.578125,60362.7890625,59954.91015625,60087.98046875,4500
2023-04-27,60649.37890625,60698.30859375,60271.48828125,60315.55859375,5500
2023-04-28,61112.44140625,61209.4609375,60507.828125,60721.609375,7200
2023-05-02,61354.7109375,61486.23828125,61255.0,61301.609375,6700
2023-05-03,61193.30078125,61274.9609375,61024.44140625,61274.9609375,6100
2023-05-04,61749.25,61797.91015625,61119.55859375,61258.12890625,8100
2023-05-05,61054.2890625,61585.5,61002.171875,61163.1015625,5600
2023-05-08,61764.25,61854.19140625,61166.08984375,61166.08984375,7900
2023-05-09,61761.328125,62027.51171875,61654.94140625,61879.6796875,6900
2023-05-10,61940.19921875,61974.3515625,61572.9296875,61843.359375,4800
2023-05-11,61904.51953125,62168.21875,61823.0703125,62158.1015625,6100
2023-05-12,62027.8984375,62110.9296875,61578.1484375,61857.69140625,7000
2023-05-15,62345.7109375,62562.671875,61950.30078125,62157.1015625,6900
2023-05-16,61932.46875,62475.94921875,61847.41015625,62474.109375,5900
2023-05-17,61560.640625,61979.94140625,61340.1015625,61932.3203125,6700
2023-05-18,61431.73828125,61955.8984375,61349.33984375,61937.859375,8200
2023-05-19,61729.6796875,61784.609375,61251.69921875,61556.25,6100
2023-05-22,61963.6796875,62044.4609375,61579.78125,61579.78125,5600
2023-05-23,61981.7890625,62245.19140625,61914.3984375,62098.16015625,8400
2023-05-24,61773.78125,62154.140625,61708.1015625,61834.28125,5900
2023-05-25,61872.62109375,61934.01171875,61484.66015625,61706.12890625,8400
2023-05-26,62501.69140625,62529.828125,61911.609375,61985.359375,9200
2023-05-29,62846.37890625,63026.0,62801.5390625,62801.5390625,9600
2023-05-30,62969.12890625,63036.12109375,62737.3984375,62839.8515625,7800
2023-05-31,62622.23828125,62876.76953125,62401.01953125,62839.96875,7300
2023-06-01,62428.5390625,62762.41015625,62359.140625,62736.46875,8000
2023-06-02,62547.109375,62719.83984375,62379.859375,62601.96875,6300
2023-06-05,62787.46875,62943.19921875,62751.71875,62759.19140625,6100
2023-06-06,62792.87890625,62867.94921875,62554.2109375,62738.3515625,8100
2023-06-07,63142.9609375,63196.4296875,62841.94921875,62917.390625,6900
2023-06-08,62848.640625,63321.3984375,62789.73046875,63140.171875,11000
2023-06-09,62625.62890625,62992.16015625,62594.73828125,62810.6796875,41400
2023-06-12,62724.7109375,62804.890625,62615.19921875,62659.98046875,4900
2023-06-13,63143.16015625,63177.46875,62777.0390625,62779.140625,5500
2023-06-14,63228.51171875,63274.03125,63013.51171875,63115.48046875,11900
2023-06-15,62917.62890625,63310.9609375,62871.078125,63153.78125,6700
2023-06-16,63384.578125,63520.359375,62957.171875,62960.73046875,5500
2023-06-19,63168.30078125,63574.69140625,63047.828125,63474.2109375,1400
2023-06-20,63327.69921875,63440.19140625,62801.91015625,63176.76953125,5000
2023-06-21,63523.1484375,63588.30859375,63315.62109375,63467.4609375,10600
2023-06-22,63238.890625,63601.7109375,63200.62890625,63601.7109375,7300
2023-06-23,62979.37109375,63240.62890625,62874.12109375,63124.28125,7300
2023-06-26,62970.0,63136.08984375,62853.671875,62946.5,4400
2023-06-27,63416.03125,63467.5390625,63054.83984375,63151.8515625,4800
2023-06-28,63915.421875,64050.44140625,63554.8203125,63701.78125,6300
2023-06-30,64718.55859375,64768.578125,64068.44140625,64068.44140625,29700
2023-07-03,65205.05078125,65300.3515625,64836.16015625,64836.16015625,8800
2023-07-04,65479.05078125,65672.96875,65171.05859375,65503.8515625,6600
2023-07-05,65446.0390625,65584.328125,65256.48828125,65493.6796875,7400
2023-07-06,65785.640625,65832.9765625,65328.2890625,65391.87890625,8600
2023-07-07,65280.44921875,65898.9765625,65175.73828125,65559.40625,14300
2023-07-10,65344.171875,65633.4921875,65246.3984375,65482.328125,14400
2023-07-11,65617.84375,65870.59375,65517.5703125,65598.6484375,9800
2023-07-12,65393.8984375,65811.640625,65320.25,65759.28125,7400
2023-07-13,65558.890625,66064.2109375,65452.1484375,65667.0703125,9500
2023-07-14,66060.8984375,66159.7890625,65610.8203125,65775.4921875,10800
2023-07-17,66589.9296875,66656.2109375,66015.6328125,66148.1796875,9200
2023-07-18,66795.140625,67007.0234375,66574.46875,66828.9609375,8200
2023-07-19,67097.4375,67171.3828125,66703.609375,66905.0078125,8500
2023-07-20,67571.8984375,67619.171875,66831.3828125,67074.34375,8300
2023-07-21,66684.2578125,67190.5234375,66533.7421875,66907.0703125,13200
2023-07-24,66384.78125,66808.5625,66326.25,66629.140625,8600
2023-07-25,66355.7109375,66559.2890625,66177.6171875,66531.203125,11100
2023-07-26,66707.203125,66897.2734375,66431.34375,66434.71875,10500
2023-07-27,66266.8203125,66984.171875,66060.7421875,66834.1171875,8400
2023-07-28,66160.203125,66351.21875,65878.6484375,66266.3515625,12300
2023-07-31,66527.671875,66598.421875,65998.8984375,66156.390625,7900
2023-08-01,66459.3125,66658.1171875,66388.2578125,66532.9765625,10500
2023-08-02,65782.78125,66261.96875,65431.6796875,66064.40625,7500
2023-08-03,65240.6796875,65820.8203125,64963.078125,65550.8203125,9300
2023-08-04,65721.25,65799.2734375,65387.1796875,65453.55078125,12500
2023-08-07,65953.4765625,66067.8984375,65748.25,65811.3984375,7100
2023-08-08,65846.5,66057.53125,65752.6328125,66048.8125,6300
2023-08-09,65995.8125,66066.0078125,65444.37890625,65810.9609375,6600
2023-08-10,65688.1796875,65956.25,65509.140625,65945.390625,6000
2023-08-11,65322.6484375,65727.796875,65274.609375,65727.796875,7600
2023-08-14,65401.921875,65517.8203125,64821.87890625,65153.01953125,7600
2023-08-16,65539.421875,65605.7421875,65032.890625,65238.671875,0
2023-08-17,65151.01953125,65535.140625,65046.1015625,65503.8515625,6400
2023-08-18,64948.66015625,65175.3203125,64754.71875,65025.7109375,14300
2023-08-21,65216.08984375,65335.8203125,64852.69921875,64852.69921875,9300
2023-08-22,65220.03125,65362.91015625,65165.44921875,65272.421875,5400
2023-08-23,65433.30078125,65504.7109375,65108.51171875,65300.9296875,7100
2023-08-24,65252.33984375,65913.7734375,65181.94140625,65722.5078125,5900
2023-08-25,64886.51171875,65106.0,64732.5703125,65000.671875,51700
2023-08-28,64996.6015625,65213.44921875,64776.921875,64908.078125,20800
2023-08-29,65075.8203125,65229.03125,64956.671875,65201.3515625,48500
2023-08-30,65087.25,65458.69921875,65052.73828125,65311.578125,17700
2023-08-31,64831.41015625,65277.0390625,64723.62890625,65178.328125,48600
2023-09-01,65387.16015625,65473.26953125,64818.37109375,64855.51171875,21600
2023-09-04,65628.140625,65683.90625,65285.55859375,65525.91015625,13700
2023-09-05,65780.2578125,65831.703125,65601.46875,65671.6015625,6600
2023-09-06,65880.5234375,65971.1328125,65488.03125,65744.1875,6100
2023-09-07,66265.5625,66296.8984375,65672.34375,65854.25,6200
2023-09-08,66598.90625,66766.921875,66299.296875,66381.4296875,11500
2023-09-11,67127.078125,67172.1328125,66735.84375,66807.7265625,9300
2023-09-12,67221.1328125,67539.1015625,66948.1796875,67506.8828125,8700
2023-09-13,67466.9921875,67565.40625,67053.359375,67188.640625,6200
2023-09-14,67519.0,67771.046875,67336.4609375,67627.03125,8100
2023-09-15,67838.6328125,67927.2265625,67614.421875,67659.90625,6800
2023-09-18,67596.84375,67803.1484375,67532.828125,67665.578125,10300
2023-09-20,66800.84375,67294.15625,66728.140625,67080.1796875,13400
2023-09-21,66230.2421875,66608.671875,66128.7109375,66608.671875,8400
2023-09-22,66009.1484375,66445.46875,65952.828125,66215.0390625,8300
2023-09-25,66023.6875,66225.6328125,65764.03125,66082.9921875,6800
2023-09-26,65945.46875,66078.2578125,65865.6328125,66071.6328125,6500
2023-09-27,66118.6875,66172.2734375,65549.9609375,65925.640625,5400
2023-09-28,65508.3203125,66406.0078125,65423.390625,66406.0078125,7800
2023-09-29,65828.40625,66151.6484375,65570.3828125,65743.9296875,8400
2023-10-03,65512.1015625,65813.5,65344.58984375,65813.421875,8600
2023-10-04,65226.0390625,65332.51953125,64878.76953125,65330.6484375,8600
2023-10-05,65631.5703125,65753.203125,65443.33984375,65598.2578125,8000
2023-10-06,65995.6328125,66095.8125,65762.328125,65867.5390625,10200
2023-10-09,65512.390625,65789.9765625,65434.609375,65560.0703125,7300
2023-10-10,66079.359375,66180.171875,65662.2734375,65662.2734375,5100
2023-10-11,66473.046875,66592.15625,66299.7890625,66376.421875,16800
2023-10-12,66408.390625,66577.6015625,66339.421875,66564.5703125,7100
2023-10-13,66282.7421875,66478.8984375,65895.40625,66034.2109375,13400
2023-10-16,66166.9296875,66342.75,66039.3828125,66238.1484375,6600
2023-10-17,66428.09375,66559.8203125,66309.1796875,66558.1484375,7900
2023-10-18,65877.0234375,66475.2734375,65842.1015625,66473.7421875,7100
2023-10-19,65629.2421875,65869.6484375,65343.5,65484.609375,11000
2023-10-20,65397.62109375,65555.140625,65308.609375,65437.0703125,14300
2023-10-23,64571.87890625,65453.921875,64502.6796875,65419.01953125,6800
2023-10-25,64049.05859375,64787.078125,63912.16015625,64619.26953125,7100
2023-10-26,63148.1484375,63774.16015625,63092.98046875,63774.16015625,12900
2023-10-27,63782.80078125,63913.12890625,63393.37109375,63559.3203125,12600
2023-10-30,64112.6484375,64184.578125,63431.44921875,63885.55859375,5600
2023-10-31,63874.9296875,64452.3203125,63812.53125,64449.6484375,15000
2023-11-01,63591.328125,63896.05078125,63550.4609375,63829.87109375,6100
2023-11-02,64080.8984375,64202.640625,63815.3515625,64033.3984375,6400
2023-11-03,64363.78125,64535.19140625,64275.390625,64444.8984375,16100
2023-11-06,64958.69140625,64992.5390625,64617.48046875,64835.23046875,8100
2023-11-07,64942.3984375,65021.2890625,64638.1015625,65021.2890625,7700
2023-11-08,64975.609375,65124.0,64851.05859375,65101.94921875,6400
2023-11-09,64832.19921875,65046.55859375,64768.76171875,65025.3203125,11600
2023-11-10,64904.6796875,65014.05859375,64580.94921875,64756.109375,11100
2023-11-13,64933.87109375,65176.9609375,64853.359375,65158.30859375,7700
2023-11-15,65675.9296875,65747.6484375,65373.5,65461.5390625,7500
2023-11-16,65982.4765625,66358.3671875,65507.01953125,65665.8671875,11600
2023-11-17,65794.7265625,66037.6875,65639.7421875,65788.7890625,10900
2023-11-20,65655.1484375,65844.0078125,65547.796875,65787.5078125,7200
2023-11-21,65930.7734375,66082.359375,65849.171875,65860.4609375,5400
2023-11-22,66023.2421875,66063.4296875,65664.8515625,65839.6171875,4300
2023-11-23,66017.8125,66235.2421875,65980.5,66084.3671875,7500
2023-11-24,65970.0390625,66101.640625,65894.046875,66000.2890625,10800
2023-11-28,66174.203125,66256.203125,65906.6484375,66063.71875,5100
2023-11-29,66901.90625,66946.28125,66374.5234375,66381.2578125,8300
2023-11-30,66988.4375,67069.890625,66610.3515625,66963.203125,11100
2023-12-01,67481.1875,67564.328125,67149.0703125,67181.1484375,21700
2023-12-04,68865.1171875,68918.21875,68274.46875,68435.34375,30900
2023-12-05,69296.140625,69381.3125,68954.8828125,69168.53125,9600
2023-12-06,69653.7265625,69744.6171875,69395.0078125,69534.9296875,10400
2023-12-07,69521.6875,69695.328125,69320.53125,69694.1484375,26000
2023-12-08,69825.6015625,69893.796875,69506.1171875,69666.3828125,18200
2023-12-11,69928.53125,70057.828125,69782.4765625,69925.6328125,12400
2023-12-12,69551.03125,70033.640625,69443.8515625,70020.6796875,7000
2023-12-13,69584.6015625,69657.9296875,69100.5625,69648.5625,7100
2023-12-14,70514.203125,70602.890625,70110.75,70146.09375,12200
2023-12-15,71483.75,71605.7578125,70655.96875,70804.1328125,25100
2023-12-18,71315.09375,71552.2421875,71142.2890625,71437.3515625,12500
2023-12-19,71437.1875,71623.7109375,71071.9765625,71479.28125,8600
2023-12-20,70506.3125,71913.0703125,70302.6015625,71647.65625,13200
2023-12-21,70865.1015625,70958.7109375,69920.390625,69920.890625,8800
2023-12-22,71106.9609375,71259.546875,70713.5625,71045.6484375,15300
2023-12-26,71336.796875,71471.2890625,71012.078125,71097.78125,7700
2023-12-27,72038.4296875,72119.8515625,71473.6484375,71492.0234375,9800
2023-12-28,72410.3828125,72484.34375,72137.453125,72262.671875,7800
2023-12-29,72240.2578125,72417.0078125,72082.640625,72351.59375,19800
