Price,Open,Close
Ticker,^NSEI,^NSEI
Date,,
2025-09-01,24432.69921875,24625.05078125
2025-09-02,24653.0,24579.599609375
2025-09-03,24616.5,24715.05078125
2025-09-04,24980.75,24734.30078125
2025-09-05,24818.849609375,24741.0
2025-09-08,24802.599609375,24773.150390625
2025-09-09,24864.099609375,24868.599609375
2025-09-10,24991.0,24973.099609375
2025-09-11,24945.5,25005.5
2025-09-12,25074.44921875,25114.0
2025-09-15,25118.900390625,25069.19921875
2025-09-16,25073.599609375,25239.099609375
2025-09-17,25276.599609375,25330.25
2025-09-18,25441.05078125,25423.599609375
2025-09-19,25410.19921875,25327.05078125
2025-09-22,25238.099609375,25202.349609375
2025-09-23,25209.0,25169.5
2025-09-24,25108.75,25056.900390625
2025-09-25,25034.5,24890.849609375
2025-09-26,24818.55078125,24654.69921875
2025-09-29,24728.55078125,24634.900390625
2025-09-30,24691.94921875,24611.099609375
2025-10-01,24620.55078125,24836.30078125
2025-10-03,24759.55078125,24894.25
2025-10-06,24916.55078125,25077.650390625
2025-10-07,25085.30078125,25108.30078125
2025-10-08,25079.75,25046.150390625
2025-10-09,25074.30078125,25181.80078125
2025-10-10,25167.650390625,25285.349609375
2025-10-13,25177.30078125,25227.349609375
2025-10-14,25277.55078125,25145.5
2025-10-15,25181.94921875,25323.55078125
2025-10-16,25394.900390625,25585.30078125
2025-10-17,25546.849609375,25709.849609375
2025-10-20,25824.599609375,25843.150390625
2025-10-21,25901.19921875,25868.599609375
2025-10-23,26057.19921875,25891.400390625
2025-10-24,25935.099609375,25795.150390625
2025-10-27,25843.19921875,25966.05078125
2025-10-28,25939.94921875,25936.19921875
2025-10-29,25982.0,26053.900390625
2025-10-30,25984.400390625,25877.849609375
2025-10-31,25863.80078125,25722.099609375
2025-11-03,25696.849609375,25763.349609375
2025-11-04,25744.75,25597.650390625
2025-11-06,25593.349609375,25509.69921875
2025-11-07,25433.80078125,25492.30078125
2025-11-10,25503.5,25574.349609375
2025-11-11,25617.0,25694.94921875
2025-11-12,25834.30078125,25875.80078125
2025-11-13,25906.099609375,25879.150390625
2025-11-14,25767.900390625,25910.05078125
2025-11-17,25948.19921875,26013.44921875
2025-11-18,26021.80078125,25910.05078125
2025-11-19,25918.099609375,26052.650390625
2025-11-20,26132.099609375,26192.150390625
2025-11-21,26109.55078125,26068.150390625
2025-11-24,26122.80078125,25959.5
2025-11-25,25998.5,25884.80078125
2025-11-26,25842.94921875,26205.30078125
2025-11-27,26261.25,26215.55078125
2025-11-28,26237.44921875,26202.94921875
2025-12-01,26325.80078125,26175.75
2025-12-02,26087.94921875,26032.19921875
2025-12-03,26004.900390625,25986.0
2025-12-04,25981.849609375,26033.75
2025-12-05,25999.80078125,26186.44921875
2025-12-08,26159.80078125,25960.55078125
2025-12-09,25867.099609375,25839.650390625
2025-12-10,25864.05078125,25758.0
2025-12-11,25771.400390625,25898.55078125
2025-12-12,25971.19921875,26046.94921875
2025-12-15,25930.05078125,26027.30078125
2025-12-16,25951.5,25860.099609375
2025-12-17,25902.400390625,25818.55078125
2025-12-18,25764.69921875,25815.55078125
2025-12-19,25911.5,25966.400390625
2025-12-22,26055.849609375,26172.400390625
2025-12-23,26205.19921875,26177.150390625
2025-12-24,26170.650390625,26142.099609375
2025-12-26,26121.25,26042.30078125
2025-12-29,26063.349609375,25942.099609375
2025-12-30,25940.900390625,25938.849609375
2025-12-31,25971.05078125,26129.599609375
2026-01-01,26173.30078125,26146.55078125
2026-01-02,26155.099609375,26328.55078125
2026-01-05,26333.69921875,26250.30078125
2026-01-06,26189.69921875,26178.69921875
2026-01-07,26143.099609375,26140.75
2026-01-08,26106.5,25876.849609375
2026-01-09,25840.400390625,25683.30078125
2026-01-12,25669.05078125,25790.25
2026-01-13,25897.349609375,25732.30078125
2026-01-14,25648.55078125,25665.599609375
2026-01-16,25696.05078125,25694.349609375
2026-01-19,25653.099609375,25585.5
2026-01-20,25580.30078125,25232.5
